compifi_role_name,role_family,role_level,role_level_numeric,description,salary_com_default_job_code,notes
Chief Executive Officer,Executive,Executive,10,"Top-level strategic leadership role.",,"Fill in with Salary.com job code"
Chief Financial Officer,Finance,Executive,9,"Senior finance leadership role.",,"Fill in with Salary.com job code"
Controller,Finance,Leadership,8,"Accounting and financial reporting leader.",,"Fill in with Salary.com job code"
Finance Manager,Finance,Management,6,"Hands-on finance and planning leader.",,"Fill in with Salary.com job code"
Senior Accountant,Finance,Individual Contributor,4,"Accounting and reporting specialist.",,"Fill in with Salary.com job code"
HR Director,People,Executive,8,"People leadership and strategic org support.",,"Fill in with Salary.com job code"
HR Business Partner,People,Management,6,"People partner to business leaders.",,"Fill in with Salary.com job code"
Talent Acquisition Manager,People,Management,5,"Hiring and recruiting leadership.",,"Fill in with Salary.com job code"
Operations Director,Operations,Executive,8,"Operational leadership across teams or functions.",,"Fill in with Salary.com job code"
Operations Manager,Operations,Management,6,"Daily operational execution and team leadership.",,"Fill in with Salary.com job code"
Senior Operations Analyst,Operations,Individual Contributor,4,"Operational analysis and process support.",,"Fill in with Salary.com job code"
Sales Director,Revenue,Executive,8,"Sales leadership and quota ownership.",,"Fill in with Salary.com job code"
Account Executive,Revenue,Individual Contributor,3,"Revenue-generating client-facing role.",,"Fill in with Salary.com job code"
Marketing Manager,Marketing,Management,6,"Campaign and demand generation leadership.",,"Fill in with Salary.com job code"
Product Manager,Product,Management,6,"Cross-functional product leadership.",,"Fill in with Salary.com job code"
Engineering Manager,Technology,Management,6,"Technical team leadership.",,"Fill in with Salary.com job code"
Senior Software Engineer,Technology,Individual Contributor,4,"Product engineering and technical delivery.",,"Fill in with Salary.com job code"
Customer Success Manager,Customer Success,Management,5,"Customer retention and relationship management.",,"Fill in with Salary.com job code"
